country,Purchasing Power Value,Purchasing Power Category,Safety Value,Safety Category,Health Care Value,Health Care Category,Cost of Living Value,Cost of Living Category,Pollution Value,Pollution Category
Afghanistan,32.15,Very Low,25.33,Low,24.24,Low,21.08,Very Low,84.44,Very High
Aland Islands,125.01,Very High,71.81,High,79.72,High,53.44,Low,18.05,Very Low
Albania,42.82,Low,55.52,Moderate,48.21,Moderate,40.85,Low,77.25,High
Alderney,0,Very Low,83.79,Very High,100,Very High,0,Very Low,1.72,Very Low
Algeria,27.6,Very Low,47.54,Moderate,54.43,Moderate,25.31,Very Low,63.87,High
American Samoa,0,Very Low,54.41,Moderate,0,Very Low,0,Very Low,78.45,High
Andorra,121.14,Very High,84.71,Very High,75.56,High,48.09,Low,22.98,Low
Angola,224.46,Very High,33.71,Low,36.58,Low,42.57,Low,92.07,Very High
Anguilla,0,Very Low,75.44,High,77.08,High,0,Very Low,0,Very Low
Antigua And Barbuda,0,Very Low,42.86,Moderate,30.56,Low,0,Very Low,43.1,Moderate
Argentina,40.36,Low,36.36,Low,68,High,32.65,Very Low,50.81,Moderate
Armenia,36.91,Very Low,77.81,High,58.07,Moderate,41.84,Low,62.55,High
Aruba,71.46,Moderate,69.23,High,78.7,High,79.42,High,35.7,Low
Australia,137.58,Very High,52.71,Moderate,73.35,High,64.5,Moderate,26.8,Low
Austria,109.08,High,70.38,High,77.83,High,62.22,Moderate,20.73,Low
Azerbaijan,41.75,Low,68.12,High,48.31,Moderate,30.26,Very Low,72.69,High
Bahamas,58.59,Low,43.76,Moderate,39.52,Low,81.3,High,61.34,High
Bahrain,114.56,Very High,75.28,High,66.6,High,48.79,Low,71.57,High
Bangladesh,36.16,Very Low,38.79,Low,42.2,Moderate,20.76,Very Low,85.31,Very High
Barbados,46.93,Low,55.14,Moderate,71.88,High,70.6,Moderate,24.39,Low
Belarus,56.24,Low,49.99,Moderate,48.5,Moderate,25.11,Very Low,44.94,Moderate
Belgium,118.62,Very High,50.42,Moderate,75.76,High,57.41,Low,49.45,Moderate
Belize,0,Very Low,47.47,Moderate,47.37,Moderate,0,Very Low,52.8,Moderate
Benin,0,Very Low,62.16,High,51.39,Moderate,0,Very Low,97.41,Very High
Bermuda,108.79,High,63.7,High,70.61,High,124.77,Very High,14.95,Very Low
Bhutan,74.38,Moderate,70.45,High,73.28,High,24.92,Very Low,48.82,Moderate
Bolivia,43.04,Low,35,Low,45.98,Moderate,25.28,Very Low,71.92,High
Bonaire,0,Very Low,62.95,High,0,Very Low,0,Very Low,0,Very Low
Bosnia And Herzegovina,63.66,Moderate,58.3,Moderate,55.62,Moderate,32.01,Very Low,59.68,Moderate
Botswana,64.6,Moderate,47.3,Moderate,61.12,High,40.05,Low,46.09,Moderate
Brazil,42.13,Low,35.36,Low,59.21,Moderate,27.14,Very Low,52.84,Moderate
British Virgin Islands,0,Very Low,59.31,Moderate,0,Very Low,0,Very Low,68.1,High
Brunei,119.26,Very High,70.7,High,75.37,High,46.73,Low,35.49,Low
Bulgaria,77.66,Moderate,63.73,High,58.15,Moderate,35.86,Very Low,62.94,High
Burkina Faso,0,Very Low,61.16,High,49.31,Moderate,0,Very Low,0,Very Low
Burundi,0,Very Low,43.44,Moderate,34.44,Low,0,Very Low,87.84,Very High
Cambodia,26.95,Very Low,48.19,Moderate,50.71,Moderate,34.38,Very Low,77.77,High
Cameroon,10.02,Very Low,34.53,Low,45.53,Moderate,37.61,Very Low,93.71,Very High
Canada,111.31,Very High,54.34,Moderate,68.82,High,60.55,Moderate,29.8,Low
Cape Verde,18.09,Very Low,49.87,Moderate,67.71,High,38.51,Very Low,81.03,Very High
Cayman Islands,123.25,Very High,69.25,High,62.28,High,108.7,Very High,23.96,Low
Central African Republic,0,Very Low,15.89,Very Low,41.67,Moderate,0,Very Low,84.83,Very High
Chad,20.21,Very Low,32.16,Low,44.21,Moderate,46.23,Low,60.56,High
Chile,51.47,Low,39.55,Low,63.52,High,36.29,Very Low,77.51,High
China,78.42,Moderate,75.82,High,68.53,High,31.23,Very Low,77.3,High
Colombia,36.19,Very Low,39.14,Low,68.44,High,25.48,Very Low,62.47,High
Comoros,41.96,Low,52.94,Moderate,0,Very Low,35.91,Very Low,0,Very Low
Cook Islands,0,Very Low,69.08,High,0,Very Low,0,Very Low,8.62,Very Low
Costa Rica,50.9,Low,46.04,Moderate,64.29,High,50.18,Low,42.39,Moderate
Croatia,83.85,Moderate,74.54,High,64.66,High,43.23,Low,31.1,Low
